cod_ibge;nom_mun;tmi
110001;Alta Floresta D’Oeste;6.01
110002;Ariquemes;7.30
110003;Cabixi;28.99
110004;Cacoal;16.60
110005;Cerejeiras;7.43
110006;Colorado do Oeste;0.00
110007;Corumbiara;46.73
110008;Costa Marques;26.32
110009;Espigão D’Oeste;8.49
110010;Guajará-Mirim;22.14
110011;Jaru;10.09
110012;Ji-Paraná;11.25
110013;Machadinho D’Oeste;5.35
110014;Nova Brasilândia D’Oeste;8.70
110015;Ouro Preto do Oeste;0.00
110018;Pimenta Bueno;15.54
110020;Porto Velho;17.61
110025;Presidente Médici;7.72
110026;Rio Crespo;20.83
110028;Rolim de Moura;9.12
110029;Santa Luzia D’Oeste;10.10
110030;Vilhena;10.30
110032;São Miguel do Guaporé;13.77
110033;Nova Mamoré;7.09
110034;Alvorada D’Oeste;9.52
110037;Alto Alegre dos Parecis;0.00
110040;Alto Paraíso;4.59
110045;Buritis;7.87
110050;Novo Horizonte do Oeste;12.82
110060;Cacaulândia;0.00
110070;Campo Novo de Rondônia;5.78
110080;Candeias do Jamari;5.81
110090;Castanheiras;27.03
110092;Chupinguaia;6.17
110094;Cujubim;28.46
110100;Governador Jorge Teixeira;11.63
110110;Itapuã do Oeste;16.81
110120;Ministro Andreazza;27.03
110130;Mirante da Serra;5.95
110140;Monte Negro;0.00
110143;Nova União;11.49
110145;Parecis;16.95
110146;Pimenteiras do Oeste;0.00
110147;Primavera de Rondônia;0.00
110148;São Felipe D’Oeste;0.00
110149;São Francisco do Guaporé;15.04
110150;Seringueiras;12.35
110155;Teixeirópolis;23.81
110160;Theobroma;17.39
110170;Urupá;13.99
110175;Vale do Anari;27.78
110180;Vale do Paraíso;16.13
120001;Acrelândia;12.66
120005;Assis Brasil;13.95
120010;Brasiléia;7.59
120013;Bujari;12.45
120017;Capixaba;5.26
120020;Cruzeiro do Sul;10.64
120025;Epitaciolândia;17.06
120030;Feijó;31.69
120032;Jordão;19.51
120033;Mâncio Lima;19.05
120034;Manoel Urbano;7.14
120035;Marechal Thaumaturgo;8.98
120038;Plácido de Castro;24.56
120039;Porto Walter;13.94
120040;Rio Branco;14.97
120042;Rodrigues Alves;14.41
120043;Santa Rosa do Purus;46.98
120045;Senador Guiomard;14.96
120050;Sena Madureira;19.46
120060;Tarauacá;19.81
